Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.844183934203548;0.862467875942975;0.719989721679785;;;0.526747492921047;0.419633910731202;0.599118703556257;0.667744943545319;0.321216801751356;0.594963261145116;0.320730376179439;0.341624943524322;0.73390833851016;0.757330821926621;0.823408389322422;0.75099472692802;0.819436085204084;0.800071510802337;0.573516670200556;0.737126265906743;0.55305962925165;0.385306946971317;0.462598267785442;-0.161667452485323
Retrosplenial area (R);0.844183934203548;1;0.822334547509141;0.759591566980976;;;0.434245050362837;0.433934284137574;0.582230065550178;0.599507526198178;0.235145691131901;0.555174666812547;0.259251440285699;0.225865609039555;0.607384805645252;0.743263900962725;0.777312953277667;0.778935482731685;0.732736557480458;0.77766749813867;0.473184789673919;0.624876329464495;0.499240465161491;0.432059618867501;0.321912088735107;-0.129856595084914
Visual areas (L);0.862467875942975;0.822334547509141;1;0.761939740050434;;;0.474378762761429;0.555548278939286;0.671204157785267;0.688974385368309;0.199940984050169;0.525254296271706;0.290627178395878;0.268680917188748;0.693931593378466;0.731029516941916;0.765064270139853;0.731179112280473;0.774563767169158;0.818331773825671;0.426959015803147;0.589582087524346;0.557547572445766;0.472648421816071;0.441831709578381;-0.104096646003296
Visual areas (R);0.719989721679785;0.759591566980976;0.761939740050434;1;;;0.419351270801241;0.564653903304394;0.592011726655757;0.678722481746723;0.100597560320778;0.447196758117209;0.285600861972208;0.114597094958048;0.430017844275232;0.655220439420859;0.683497036599675;0.571487183552154;0.63835848729276;0.632601214942613;0.282670763026241;0.601862259440497;0.413773883640189;0.381248438485363;0.310834564365583;-0.0582213678212831
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.526747492921047;0.434245050362837;0.474378762761429;0.419351270801241;;;1;0.332603736186001;0.504550695164195;0.392397304205234;0.312314479194873;0.390804028649146;0.303866580536125;0.173016379128544;0.439295356937659;0.488076305009477;0.547397232920979;0.429034156726051;0.538638113160163;0.387988381743518;0.438234094053634;0.508852941092444;0.273911603949262;0.0920004767507542;0.335088679022073;-0.25236843343121
Auditory areas (R);0.419633910731202;0.433934284137574;0.555548278939286;0.564653903304394;;;0.332603736186001;1;0.338514944994524;0.675927524706666;0.0522207184949006;0.347523950433642;0.165740937965337;0.0682391043882573;0.427924490691367;0.431131638612332;0.401609413222836;0.365444220651651;0.477730745188253;0.44116741874061;0.158316418234238;0.33264773581264;0.257055251198055;0.185690265983672;0.229292197802626;-0.00848513450841064
Temporal association areas (L);0.599118703556257;0.582230065550178;0.671204157785267;0.592011726655757;;;0.504550695164195;0.338514944994524;1;0.655601690974553;0.281413790171318;0.566462047519655;0.407007801271739;0.148548396663792;0.409846133597299;0.618525648956084;0.55812699767242;0.536156356609846;0.703590804041891;0.651886748404127;0.361658344066012;0.509118811392549;0.350659466217098;0.533172263713157;0.349741218689825;0.110103313494902
Temporal association areas (R);0.667744943545319;0.599507526198178;0.688974385368309;0.678722481746723;;;0.392397304205234;0.675927524706666;0.655601690974553;1;0.198452416348592;0.525486856566554;0.38701150152507;0.149499285957923;0.531431185571248;0.648571124148193;0.591577644691832;0.560493694528521;0.693750267841521;0.688641354494495;0.362088185788182;0.536462681591049;0.441264194632735;0.424089612783118;0.451655625924468;0.166246267845191
Entorhinal area (L);0.321216801751356;0.235145691131901;0.199940984050169;0.100597560320778;;;0.312314479194873;0.0522207184949006;0.281413790171318;0.198452416348592;1;0.718130617263339;0.675492260622136;0.511584432404205;0.299604217524032;0.297827501484694;0.319332477853617;0.334761093063174;0.465424488828892;0.254041357170724;0.737529897159505;0.661290905703901;0.345721249498086;0.3127431741279;0.225234720770089;-0.0913355340733185
Entorhinal area (R);0.594963261145116;0.555174666812547;0.525254296271706;0.447196758117209;;;0.390804028649146;0.347523950433642;0.566462047519655;0.525486856566554;0.718130617263339;1;0.566804399616731;0.570868746743847;0.504797176880083;0.623733978861422;0.566140404877674;0.581585135058419;0.701111986533808;0.602221884583833;0.725736280873854;0.784422033590984;0.443214179803721;0.491150070896375;0.393948691880765;0.0122831589807454
Olfactory areas (L);0.320730376179439;0.259251440285699;0.290627178395878;0.285600861972208;;;0.303866580536125;0.165740937965337;0.407007801271739;0.38701150152507;0.675492260622136;0.566804399616731;0.999999999999999;0.308490279661315;0.266376391058292;0.292565980648561;0.315244851609082;0.287292292830191;0.441451563938345;0.348289667294993;0.460704271779186;0.517057459488291;0.374089863322874;0.34121124209171;0.284894336295733;0.143222336531177
Olfactory areas (R);0.341624943524322;0.225865609039555;0.268680917188748;0.114597094958048;;;0.173016379128544;0.0682391043882573;0.148548396663792;0.149499285957923;0.511584432404205;0.570868746743847;0.308490279661315;1;0.227574855828196;0.263323821118855;0.377559530960844;0.260336446593672;0.340887161729513;0.281723166556514;0.519296570338865;0.502091098678362;0.200862772077938;0.215470134620678;0.186776419326546;0.0480465874318967
Dentate gyrus (L);0.73390833851016;0.607384805645252;0.693931593378466;0.430017844275232;;;0.439295356937659;0.427924490691367;0.409846133597299;0.531431185571248;0.299604217524032;0.504797176880083;0.266376391058292;0.227574855828196;1;0.760127169411627;0.688677175051837;0.769662805606252;0.694139951209229;0.666310315685496;0.476587180355623;0.471950954581431;0.370258896481507;0.346440364704851;0.401565714371888;-0.111997774580973
Dentate gyrus (R);0.757330821926621;0.743263900962725;0.731029516941916;0.655220439420859;;;0.488076305009477;0.431131638612332;0.618525648956084;0.648571124148193;0.297827501484694;0.623733978861422;0.292565980648561;0.263323821118855;0.760127169411627;1;0.709245842245041;0.814434769867723;0.75372735621869;0.759871639332751;0.593451991998162;0.609028499595804;0.477221019970024;0.550319123320327;0.380030413328666;-0.0529867440281453
Subiculum (L);0.823408389322422;0.777312953277667;0.765064270139853;0.683497036599675;;;0.547397232920979;0.401609413222836;0.55812699767242;0.591577644691832;0.319332477853617;0.566140404877674;0.315244851609082;0.377559530960844;0.688677175051837;0.709245842245041;1;0.666264330380295;0.763334687696279;0.729297319335943;0.546549675917521;0.629496219855347;0.450002449800093;0.450581788313325;0.367433808501783;-0.167394033025863
Subiculum (R);0.75099472692802;0.778935482731685;0.731179112280473;0.571487183552154;;;0.429034156726051;0.365444220651651;0.536156356609846;0.560493694528521;0.334761093063174;0.581585135058419;0.287292292830191;0.260336446593672;0.769662805606252;0.814434769867723;0.666264330380295;1;0.731736181147681;0.726046266340167;0.589638510441811;0.615322074874405;0.446857908930097;0.450858741115127;0.406999875008152;-0.0453239688766002
Dorsal hippocampus (L);0.819436085204084;0.732736557480458;0.774563767169158;0.63835848729276;;;0.538638113160163;0.477730745188253;0.703590804041891;0.693750267841521;0.465424488828892;0.701111986533808;0.441451563938345;0.340887161729513;0.694139951209229;0.75372735621869;0.763334687696279;0.731736181147681;1;0.721107842671929;0.65256027093823;0.739835178618626;0.424091886711588;0.479640952651109;0.270375646644071;-0.0908964516136863
Dorsal hippocampus (R);0.800071510802337;0.77766749813867;0.818331773825671;0.632601214942613;;;0.387988381743518;0.44116741874061;0.651886748404127;0.688641354494495;0.254041357170724;0.602221884583833;0.348289667294993;0.281723166556514;0.666310315685496;0.759871639332751;0.729297319335943;0.726046266340167;0.721107842671929;1;0.514364303713919;0.553918922913201;0.574744274529135;0.479096744283401;0.495863304361338;-0.100763944997701
Ventral hippocampus (L);0.573516670200556;0.473184789673919;0.426959015803147;0.282670763026241;;;0.438234094053634;0.158316418234238;0.361658344066012;0.362088185788182;0.737529897159505;0.725736280873854;0.460704271779186;0.519296570338865;0.476587180355623;0.593451991998162;0.546549675917521;0.589638510441811;0.65256027093823;0.514364303713919;1;0.761166821472163;0.463718715206387;0.344934930959821;0.298884315522064;-0.167756091857325
Ventral hippocampus (R);0.737126265906743;0.624876329464495;0.589582087524346;0.601862259440497;;;0.508852941092444;0.33264773581264;0.509118811392549;0.536462681591049;0.661290905703901;0.784422033590984;0.517057459488291;0.502091098678362;0.471950954581431;0.609028499595804;0.629496219855347;0.615322074874405;0.739835178618626;0.553918922913201;0.761166821472163;1;0.476327700559944;0.426581786937167;0.37177113884483;-0.102401376967217
Substantia nigra, reticular part (L);0.55305962925165;0.499240465161491;0.557547572445766;0.413773883640189;;;0.273911603949262;0.257055251198055;0.350659466217098;0.441264194632735;0.345721249498086;0.443214179803721;0.374089863322874;0.200862772077938;0.370258896481507;0.477221019970024;0.450002449800093;0.446857908930097;0.424091886711588;0.574744274529135;0.463718715206387;0.476327700559944;1;0.291522232032362;0.38753603736478;-0.0881069262485892
Substantia nigra, reticular part (R);0.385306946971317;0.432059618867501;0.472648421816071;0.381248438485363;;;0.0920004767507542;0.185690265983672;0.533172263713157;0.424089612783118;0.3127431741279;0.491150070896375;0.34121124209171;0.215470134620678;0.346440364704851;0.550319123320327;0.450581788313325;0.450858741115127;0.479640952651109;0.479096744283401;0.344934930959821;0.426581786937167;0.291522232032362;1;0.229958071573599;0.133653518368101
Substantia nigra, compact part (L);0.462598267785442;0.321912088735107;0.441831709578381;0.310834564365583;;;0.335088679022073;0.229292197802626;0.349741218689825;0.451655625924468;0.225234720770089;0.393948691880765;0.284894336295733;0.186776419326546;0.401565714371888;0.380030413328666;0.367433808501783;0.406999875008152;0.270375646644071;0.495863304361338;0.298884315522064;0.37177113884483;0.38753603736478;0.229958071573599;1;-0.12665267519306
Substantia nigra, compact part (R);-0.161667452485323;-0.129856595084914;-0.104096646003296;-0.0582213678212831;;;-0.25236843343121;-0.00848513450841064;0.110103313494902;0.166246267845191;-0.0913355340733185;0.0122831589807454;0.143222336531177;0.0480465874318967;-0.111997774580973;-0.0529867440281453;-0.167394033025863;-0.0453239688766002;-0.0908964516136863;-0.100763944997701;-0.167756091857325;-0.102401376967217;-0.0881069262485892;0.133653518368101;-0.12665267519306;1
