Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.505397883913774;0.800374279359325;-0.0578854974374408;;;0.608237246939115;-0.20442980158745;0.605984989077439;0.352463938748115;0.0395216867528321;0.202665661197392;0.348251159947591;0.289139608155366;0.118723477382919;0.524243904812759;0.542852906038341;0.687999473480138;0.608046223066151;0.833753910694581;0.0670558867886847;0.125809950830882;-0.402931178809537;-0.25483778316809;-0.165125510367842;0.191863832507465
Retrosplenial area (R);0.505397883913774;1;0.515289247808514;-0.123366173120436;;;0.463635083001225;-0.238882008569566;0.339698542119664;0.285985975401981;-0.115491069796317;0.0110179465920098;0.00319792512302247;0.0871957037659888;-0.0498507254706091;0.290841714287777;0.259332914627841;0.366343020874292;0.336227577339509;0.568591044787268;-0.125488580108571;-0.00796949355864436;-0.356759868595367;-0.328725842644107;-0.347732291308273;0.111032600010793
Visual areas (L);0.800374279359325;0.515289247808514;1;-0.00627650965449419;;;0.606664261006493;-0.29706124261313;0.741590316850108;0.132368169380944;-0.0813619862555213;0.177719768016998;0.36203801562514;0.194983031313329;-0.0899423667645831;0.49810813200095;0.362455659002173;0.767030772603484;0.537486113110491;0.929780750887523;0.0531034470048007;0.0727259921588867;-0.489031201401763;-0.445471417633545;-0.247595430774209;0.27096805935537
Visual areas (R);-0.0578854974374408;-0.123366173120436;-0.00627650965449419;1;;;-0.146146779677733;-0.0357380381113185;0.00517945001411411;-0.512161442802745;-0.139294108519689;0.109695313529287;0.0381378223017059;-0.162470341121683;-0.0899397020989894;-0.219905475632675;-0.159899741736226;-0.208887767171509;-0.14735027379512;-0.0917393452682626;0.00310051572137307;-0.0451827806394872;-0.170557660539978;-0.0311868024711016;-0.0303549988329487;0.00316424992191006
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.608237246939115;0.463635083001225;0.606664261006493;-0.146146779677733;;;1;0.0925540193968444;0.609160789170225;0.305205809127612;0.0734871490764448;0.120701682753227;0.307646670735894;0.262385010670133;0.0931480441788192;0.452676688280973;0.384129199476732;0.511931830003932;0.459919556836862;0.648910311431917;-0.0280176698405627;0.0553705334779778;-0.321956610937039;-0.264341195125687;-0.176133646735101;0.197802270301403
Auditory areas (R);-0.20442980158745;-0.238882008569566;-0.29706124261313;-0.0357380381113185;;;0.0925540193968444;0.999999999999999;0.0627770483882461;0.0045556812940015;0.296837423540751;0.079563963871159;0.141734293274836;0.0980317955032154;0.173731563750552;-0.0226274034773184;0.0142093938001334;-0.124609705644847;-0.0699593718294153;-0.18997936717746;0.0881179776551555;0.0370583946464246;0.212323939642247;0.309285904611917;0.114802237528483;-0.0810786177936852
Temporal association areas (L);0.605984989077439;0.339698542119664;0.741590316850108;0.00517945001411411;;;0.609160789170225;0.0627770483882461;1;-0.0259162563401669;-0.0200664924678165;0.111203009391744;0.293137959067429;0.123720432499159;-0.146033534950133;0.283108942688149;0.244609479056349;0.556327501848126;0.365979104896579;0.696446759593641;-0.015707394144141;-0.00338525472846137;-0.418005574487226;-0.365247167932957;-0.11111341405284;0.0415277588847138
Temporal association areas (R);0.352463938748115;0.285985975401981;0.132368169380944;-0.512161442802745;;;0.305205809127612;0.0045556812940015;-0.0259162563401669;1;0.206397586252042;0.090949585609522;0.155652615315591;0.402893985353123;0.462857702111128;0.334198229761671;0.388918439369099;0.293804709361865;0.349370194930353;0.26237917535841;0.0872595578514375;0.147845635829966;0.260099612386179;0.251071981206089;0.0656712900322756;0.231569173840865
Entorhinal area (L);0.0395216867528321;-0.115491069796317;-0.0813619862555213;-0.139294108519689;;;0.0734871490764448;0.296837423540751;-0.0200664924678165;0.206397586252042;1;0.626823837357182;0.36355334591055;0.423170586523589;0.715619773597612;0.508122931468165;0.452493028398083;0.186869930134366;0.503578759737982;0.0288046606838341;0.719962641975921;0.70357883941404;0.485884812086271;0.525384668824185;0.385797059589446;0.240224604405756
Entorhinal area (R);0.202665661197392;0.0110179465920098;0.177719768016998;0.109695313529287;;;0.120701682753227;0.079563963871159;0.111203009391744;0.090949585609522;0.626823837357182;1;0.386627934803336;0.337665120689373;0.554026582361905;0.610073461697831;0.466305655064346;0.401975877273334;0.576365768032671;0.269466905188151;0.67219828668145;0.718575716149978;0.165136861130578;0.272107027887;0.223945992808094;0.164511442172702
Olfactory areas (L);0.348251159947591;0.00319792512302247;0.36203801562514;0.0381378223017059;;;0.307646670735894;0.141734293274836;0.293137959067429;0.155652615315591;0.36355334591055;0.386627934803336;1;0.233817695331788;0.308949577843367;0.463374431162747;0.377784690351315;0.311069104002253;0.504286530580119;0.409113378115824;0.350053712104064;0.37336857883048;0.0242725496418348;0.0532070447954716;0.0955553413402692;0.244500668474247
Olfactory areas (R);0.289139608155366;0.0871957037659888;0.194983031313329;-0.162470341121683;;;0.262385010670133;0.0980317955032154;0.123720432499159;0.402893985353123;0.423170586523589;0.337665120689373;0.233817695331788;1;0.510165851035977;0.459911845986702;0.448439051951374;0.397983772417841;0.457346937794318;0.267870745231372;0.319163201479358;0.399257188540272;0.22888259729597;0.310496519719433;0.0725131053305988;0.317327993908789
Dentate gyrus (L);0.118723477382919;-0.0498507254706091;-0.0899423667645831;-0.0899397020989894;;;0.0931480441788192;0.173731563750552;-0.146033534950133;0.462857702111128;0.715619773597612;0.554026582361905;0.308949577843367;0.510165851035977;1;0.581566783318403;0.491183685091641;0.204024272753442;0.52434597526896;0.0258943729953837;0.623487559838601;0.604607527085548;0.58199555425878;0.621267425200789;0.377353310719941;0.23611011428848
Dentate gyrus (R);0.524243904812759;0.290841714287777;0.49810813200095;-0.219905475632675;;;0.452676688280973;-0.0226274034773184;0.283108942688149;0.334198229761671;0.508122931468165;0.610073461697831;0.463374431162747;0.459911845986702;0.581566783318403;1;0.645633062772315;0.664160337000169;0.739938297108118;0.599453119719916;0.456579023854548;0.514642028187016;0.0733480078738451;0.103904398570364;0.0529080923980813;0.403069897134857
Subiculum (L);0.542852906038341;0.259332914627841;0.362455659002173;-0.159899741736226;;;0.384129199476732;0.0142093938001334;0.244609479056349;0.388918439369099;0.452493028398083;0.466305655064346;0.377784690351315;0.448439051951374;0.491183685091641;0.645633062772315;1;0.52017037726555;0.769273199589072;0.532599904991626;0.358217222937974;0.428174433997019;-0.0550952431209071;0.0594061882328487;0.0166277376334072;0.171595630914095
Subiculum (R);0.687999473480138;0.366343020874292;0.767030772603484;-0.208887767171509;;;0.511931830003932;-0.124609705644847;0.556327501848126;0.293804709361865;0.186869930134366;0.401975877273334;0.311069104002253;0.397983772417841;0.204024272753442;0.664160337000169;0.52017037726555;1;0.63720392685724;0.799722663829771;0.291794820039304;0.342004505940937;-0.1996815719298;-0.182099926712238;-0.037383125910463;0.306864474622492
Dorsal hippocampus (L);0.608046223066151;0.336227577339509;0.537486113110491;-0.14735027379512;;;0.459919556836862;-0.0699593718294153;0.365979104896579;0.349370194930353;0.503578759737982;0.576365768032671;0.504286530580119;0.457346937794318;0.52434597526896;0.739938297108118;0.769273199589072;0.63720392685724;1;0.645041069549714;0.567325827800196;0.614822055319358;-0.0134464303468296;0.035025505831274;0.031328875010734;0.332366171227448
Dorsal hippocampus (R);0.833753910694581;0.568591044787268;0.929780750887523;-0.0917393452682626;;;0.648910311431917;-0.18997936717746;0.696446759593641;0.26237917535841;0.0288046606838341;0.269466905188151;0.409113378115824;0.267870745231372;0.0258943729953837;0.599453119719916;0.532599904991626;0.799722663829771;0.645041069549714;1;0.109968957381663;0.149846150843944;-0.49167037009082;-0.390014646184114;-0.247002437791088;0.245609848037954
Ventral hippocampus (L);0.0670558867886847;-0.125488580108571;0.0531034470048007;0.00310051572137307;;;-0.0280176698405627;0.0881179776551555;-0.015707394144141;0.0872595578514375;0.719962641975921;0.67219828668145;0.350053712104064;0.319163201479358;0.623487559838601;0.456579023854548;0.358217222937974;0.291794820039304;0.567325827800196;0.109968957381663;1;0.859381698356425;0.342780487104665;0.361889340824894;0.251640063498224;0.224117439510523
Ventral hippocampus (R);0.125809950830882;-0.00796949355864436;0.0727259921588867;-0.0451827806394872;;;0.0553705334779778;0.0370583946464246;-0.00338525472846137;0.147845635829966;0.70357883941404;0.718575716149978;0.37336857883048;0.399257188540272;0.604607527085548;0.514642028187016;0.428174433997019;0.342004505940937;0.614822055319358;0.149846150843944;0.859381698356425;1;0.290999512067393;0.38829607542255;0.221273796515127;0.198103373331506
Substantia nigra, reticular part (L);-0.402931178809537;-0.356759868595367;-0.489031201401763;-0.170557660539978;;;-0.321956610937039;0.212323939642247;-0.418005574487226;0.260099612386179;0.485884812086271;0.165136861130578;0.0242725496418348;0.22888259729597;0.58199555425878;0.0733480078738451;-0.0550952431209071;-0.1996815719298;-0.0134464303468296;-0.49167037009082;0.342780487104665;0.290999512067393;1;0.70107304772574;0.436246675169565;0.208277381360965
Substantia nigra, reticular part (R);-0.25483778316809;-0.328725842644107;-0.445471417633545;-0.0311868024711016;;;-0.264341195125687;0.309285904611917;-0.365247167932957;0.251071981206089;0.525384668824185;0.272107027887;0.0532070447954716;0.310496519719433;0.621267425200789;0.103904398570364;0.0594061882328487;-0.182099926712238;0.035025505831274;-0.390014646184114;0.361889340824894;0.38829607542255;0.70107304772574;1;0.412272728608982;0.176986070051209
Substantia nigra, compact part (L);-0.165125510367842;-0.347732291308273;-0.247595430774209;-0.0303549988329487;;;-0.176133646735101;0.114802237528483;-0.11111341405284;0.0656712900322756;0.385797059589446;0.223945992808094;0.0955553413402692;0.0725131053305988;0.377353310719941;0.0529080923980813;0.0166277376334072;-0.037383125910463;0.031328875010734;-0.247002437791088;0.251640063498224;0.221273796515127;0.436246675169565;0.412272728608982;1;-0.0473261136586674
Substantia nigra, compact part (R);0.191863832507465;0.111032600010793;0.27096805935537;0.00316424992191006;;;0.197802270301403;-0.0810786177936852;0.0415277588847138;0.231569173840865;0.240224604405756;0.164511442172702;0.244500668474247;0.317327993908789;0.23611011428848;0.403069897134857;0.171595630914095;0.306864474622492;0.332366171227448;0.245609848037954;0.224117439510523;0.198103373331506;0.208277381360965;0.176986070051209;-0.0473261136586674;1
