Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.713726644424725;0.577982571816394;0.470885384098584;;;0.378306729751839;0.635916315489062;-0.0298933971004488;0.162880420243704;0.127853140212412;0.453903598312316;0.264542790470867;0.430149362818321;0.219694241374414;0.303756254054214;0.253919522181044;0.535134833089634;0.395388355344687;0.782965450258957;0.0194893312803843;0.0016771239314807;-0.0251164148886889;-0.0131520005553516;0.0587903988195946;0.0305665644163591
Retrosplenial area (R);0.713726644424725;1;0.497283121341628;0.50842341752155;;;0.527657723578313;0.513273763125072;-0.0199064230113902;0.0616718741795773;0.112167012259746;0.29810818830724;0.258151013076886;0.348188258617171;0.221271852410357;0.334071408684942;0.173065234555926;0.328556698268435;0.304027576260978;0.569199909377866;0.0747909104829621;0.0343620229660216;0.0817223193245308;0.156796062210392;0.15771935869975;0.145671846440101
Visual areas (L);0.577982571816394;0.497283121341628;0.999999999999999;0.870100293861028;;;0.298735640965479;0.825368505680613;-0.0904284463065714;-0.062113236689818;-0.164218196641215;0.0311202943974908;-0.251986310473509;0.00665086091486785;-0.387480566019932;-0.158158787658811;-0.385892886473355;-0.0462031750581057;-0.174179783439875;0.52315448530812;-0.425148429528693;-0.290519283260851;-0.32603777769828;-0.215973240590138;-0.317261214531714;-0.292515757236365
Visual areas (R);0.470885384098584;0.50842341752155;0.870100293861028;1;;;0.297405674399222;0.659050368896045;-0.0585925633585319;-0.0998703464701268;-0.254787353560195;-0.0506068536114278;-0.302529972366241;-0.110848781632108;-0.391232645475071;-0.220177349754489;-0.436666775249186;-0.221762522600399;-0.232796898628001;0.333514870203994;-0.371528938664136;-0.41298494214945;-0.290115604650498;-0.179611870120676;-0.308193334795704;-0.272743678110946
Posterior parietal association areas (L);;;;;;;;;;;;;;;;;;;;;;;;;;
Posterior parietal association areas (R);;;;;;;;;;;;;;;;;;;;;;;;;;
Auditory areas (L);0.378306729751839;0.527657723578313;0.298735640965479;0.297405674399222;;;1;0.242896650658669;-0.0657673946176772;0.1338779671513;0.065199952795447;0.122929827009069;0.16616010293679;0.168016596650927;0.131164479544772;0.257393853877954;0.17605597468313;0.156087748327715;0.208117636618039;0.339165061817332;0.072753429626238;0.0917960776542056;0.097018921613806;0.0979871124029331;0.103714541833593;0.113986521245735
Auditory areas (R);0.635916315489062;0.513273763125072;0.825368505680613;0.659050368896045;;;0.242896650658669;1;-0.135064998657313;0.00363666396500498;-0.123301677726369;0.171014327945079;-0.152781807571836;0.0407808276218567;-0.286526756022108;-0.0735601511537497;-0.282762273024689;0.134065297604495;-0.118782593343349;0.621267145551076;-0.438846080637952;-0.317008886515123;-0.405275574525194;-0.239941592957964;-0.262723263962892;-0.25455969727007
Temporal association areas (L);-0.0298933971004488;-0.0199064230113902;-0.0904284463065714;-0.0585925633585319;;;-0.0657673946176772;-0.135064998657313;1;-0.0111325540324539;0.022255553625559;0.0173988413384171;-0.0808623929780028;0.0740769537691097;0.0224303889826281;0.0650727117470008;0.0337827734767555;-0.0374564410169989;0.0498461817925283;0.000502767564637375;0.129982568318366;0.0927204488910122;0.0985930502206412;0.173485694310731;-0.0380491293897916;0.184948214031529
Temporal association areas (R);0.162880420243704;0.0616718741795773;-0.062113236689818;-0.0998703464701268;;;0.1338779671513;0.00363666396500498;-0.0111325540324539;1;0.110438352920523;0.179764589903984;0.102192005492517;0.196399918524812;0.214511811663262;0.214314992326286;0.210664467824335;0.364469746568183;0.130872036200269;0.209233242902258;0.0973643412878445;0.176813178156238;0.0655014496464651;0.0887779271892585;0.0870233901639592;0.13145019032885
