Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.608059918163005;0.643591759785458;0.48244565538327;0.626382731302643;-0.192823208893093;0.627696044815352;-0.0992567129342741;0.0585843731573645;-0.298000562859954;0.120331967907719;-0.0405562605690436;0.260986396314265;0.522427624130149;0.735895964936031;0.766271203539933;0.698803974302995;0.791858815992276;0.655055743451529;0.732803556274247;-0.0705860123547269;0.270328617329742;-0.142194997966042;0.526927590189714;-0.259416586334373;-0.201726868616706
Retrosplenial area (R);0.608059918163005;1;0.856302716437316;0.768829204550927;0.616688300082938;-0.460230951535782;0.607291700444195;-0.0839006223080416;0.152258382810741;-0.157484908756067;0.0782677880521732;-0.136540626192127;0.407102872768754;0.776725750870904;0.757377228324881;0.774012043534753;0.740151891394921;0.799076145064068;0.851605340689165;0.787723005651966;0.215530835521836;0.40534709958658;0.121038856710458;0.504271708832817;-0.0941431450076746;0.137583465972018
Visual areas (L);0.643591759785458;0.856302716437316;1;0.791102591954913;0.735311927460027;-0.332577472406144;0.594250337691465;-0.0696449243000184;0.0278282397147053;-0.101139242313494;-0.00636492229196864;0.0238065360211201;0.402124756879043;0.777515597972709;0.835569426346448;0.86761401677739;0.809023561410184;0.788365926684725;0.907517650534406;0.898986556346593;0.0653676496343778;0.383502805039036;0.0476832131752121;0.558089088958903;-0.0840322816478163;0.138094798848625
Visual areas (R);0.48244565538327;0.768829204550927;0.791102591954913;1;0.563758533067192;-0.232506165498748;0.566094485761921;-0.042637520621088;0.0445942108505049;-0.0168644434181742;0.0967490840383803;0.0791711251370582;0.541939972807489;0.651492972070337;0.73962625603746;0.672757776107551;0.63115664203065;0.65418799640165;0.769263896717667;0.727091542503421;0.260112012761092;0.54327930705805;0.2115931200576;0.631370458891866;0.0757664899105533;0.205259216537522
Posterior parietal association areas (L);0.626382731302643;0.616688300082938;0.735311927460027;0.563758533067192;1;-0.287481575551516;0.498354313171923;-0.0450720452363776;0.0172640228833429;-0.0424975557099582;0.0832477739871159;0.0280581158177967;0.310077194296025;0.521723092504174;0.807942957131585;0.766169634339623;0.709632082930491;0.692254227706975;0.728407556740056;0.670066964677096;-0.016935014072281;0.0964077262912188;0.0344842023664772;0.536831778481999;0.00913628699464501;0.0905577110972278
Posterior parietal association areas (R);-0.192823208893093;-0.460230951535782;-0.332577472406144;-0.232506165498748;-0.287481575551516;1;-0.285071468179577;0.0633514178485256;-0.156795909753807;0.287579269078117;0.0128881062030897;0.332792627022241;-0.132228458891468;-0.353615938707639;-0.367900556187428;-0.333585310007296;-0.313100322930618;-0.477881386133041;-0.362783186006634;-0.346283303004092;-0.10916651235654;-0.1417522455069;-0.1303551283155;-0.122396026278488;-0.0430118518819775;0.0257495285608056
Auditory areas (L);0.627696044815352;0.607291700444195;0.594250337691465;0.566094485761921;0.498354313171923;-0.285071468179577;0.999999999999999;0.0757135762042734;0.0894708230942899;-0.243459733418676;0.171543637468779;-0.188316534093433;0.481135586667118;0.597447929198872;0.642402005990407;0.579399890443941;0.58727293054945;0.648481791247351;0.672006375522077;0.567544098052513;0.189563247750406;0.427210681897321;0.193482331139962;0.541931800832898;-0.170368941623243;0.000191856562829972
Auditory areas (R);-0.0992567129342741;-0.0839006223080416;-0.0696449243000184;-0.042637520621088;-0.0450720452363776;0.0633514178485256;0.0757135762042734;1;0.139996216436339;0.263290337221898;0.00340355140726092;0.0140317139709977;-0.0173790060021007;-0.00362115260873192;-0.129369329703242;-0.200408433977485;-0.220399275766923;-0.209007568015249;0.0507568728615665;-0.156720501273631;0.135766946001321;0.213041432317909;0.120888467170515;0.161434567674383;0.301808498121859;0.299451772058496
Temporal association areas (L);0.0585843731573645;0.152258382810741;0.0278282397147053;0.0445942108505049;0.0172640228833429;-0.156795909753807;0.0894708230942899;0.139996216436339;1;0.0754571998252333;0.238564530846545;0.0773981065156493;-0.0571348901177295;0.102923387714011;0.10344935963025;0.0901797007612302;0.137878862869599;0.106510210797963;0.13280058195919;0.112690054154903;0.0919941870760383;0.247749306977167;-0.0848044353584542;0.185596014935164;0.0143755320861266;0.0156523045654703
Temporal association areas (R);-0.298000562859954;-0.157484908756067;-0.101139242313494;-0.0168644434181742;-0.0424975557099582;0.287579269078117;-0.243459733418676;0.263290337221898;0.0754571998252333;1;-0.0291861195551008;0.211365220021392;-0.137388322537501;-0.156087052686762;-0.0982752020904496;-0.180034140787616;-0.0601116612495175;-0.233185642702281;-0.0871371903562016;-0.145342813962698;-0.2019649793315;0.0322940875745485;-0.0624251367432927;0.0538831948367058;0.166479291026831;0.154920628943485
