Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.658626011905753;0.543182273748808;0.391047801740609;0.093217018122033;0.21874250571428;0.362403387200653;0.455799612727637;0.112685827552135;0.334135201582278;0.173012577529474;0.491907390893611;0.248352425268644;0.157693404074037;0.463715846080539;0.550191653961044;0.509359943554347;0.540975808911275;0.64236929283108;0.627746020889625;0.242695912770778;0.263252653758744;0.000150708622254374;0.381898128247467;0.288599264981843;0.281538109643817
Retrosplenial area (R);0.658626011905753;1;0.460764367139758;0.419051058466312;0.152914379612142;0.252555939625225;0.248119631117564;0.255677386976532;0.161396224942953;0.343384273154312;0.277581587272777;0.403812329973501;0.236860406844582;0.174744506570455;0.608498866444754;0.672046409974144;0.582200720528896;0.549891018822841;0.624734088180239;0.645403055022475;0.366641940829749;0.397977725368191;0.243078038673456;0.380093713221576;0.205668902005016;0.316670314257349
Visual areas (L);0.543182273748808;0.460764367139758;1;0.354162639723174;0.188283007353903;0.395722331965243;0.371735789212979;0.391893469842685;0.0778733970901568;0.273575104855971;0.118524950555673;0.427163084372352;0.306360722470209;0.151840165152161;0.411533652627252;0.45868763879131;0.392650451241468;0.49608091735926;0.515114564531447;0.504299495658444;0.443054783302049;0.292997854799402;0.100984999290641;0.0872060251887059;0.22545230806098;0.227471732986656
Visual areas (R);0.391047801740609;0.419051058466312;0.354162639723174;1;0.134623827410129;0.434245364461202;0.216389364532864;0.46287256873728;0.112847373259231;0.207906272355346;0.177892404517916;0.347962748554395;0.263031487004815;0.128451561445113;0.32028160799733;0.351292101893601;0.149329714802573;0.182375208844994;0.332504056857843;0.312832296864945;0.429776158895022;0.3967000531858;0.101885655221117;0.0417224535569983;0.0381077023096116;0.283115588592854
Posterior parietal association areas (L);0.093217018122033;0.152914379612142;0.188283007353903;0.134623827410129;1;0.117101838043185;0.105110093310503;0.12880751600826;0.00251511045979937;-0.0133644497672932;-0.158102969577298;0.0931769406855458;0.0701394017885846;0.0639010934106585;0.165266267074043;0.0845346671849356;0.058692781162328;0.0217836876351296;0.22495861417358;0.0934037637992066;0.216315422468304;0.144663192667473;0.025222402504621;0.0560272227142978;0.0336911573845977;-0.0936876493996131
Posterior parietal association areas (R);0.21874250571428;0.252555939625225;0.395722331965243;0.434245364461202;0.117101838043185;1;0.116830343444199;0.288048425284925;0.206617102380385;0.22673658696837;0.126743311217507;0.144525160746505;0.297110740860324;-0.102369334628898;0.164908927048787;0.180104265999485;0.0433886310856551;0.0936582283167563;0.129085823641619;0.0899634111800704;0.289759259666069;0.037570166566532;0.112659731136343;0.0101179849585235;0.0780426977200754;0.19698680622353
Auditory areas (L);0.362403387200653;0.248119631117564;0.371735789212979;0.216389364532864;0.105110093310503;0.116830343444199;1;0.129298812103935;0.165815724742674;0.169187960569757;0.147088902168707;0.197541914315615;0.266317915105648;0.188973824305356;0.235297011078519;0.318868820472686;0.359039559426141;0.261178334984785;0.32475915863938;0.351207072710425;0.261272816714139;0.190094154537534;-0.109591681633084;0.0193225392755247;0.176496235398089;0.127963176516878
Auditory areas (R);0.455799612727637;0.255677386976532;0.391893469842685;0.46287256873728;0.12880751600826;0.288048425284925;0.129298812103935;1;0.153172424877912;0.301427368911244;-0.0739759146361918;0.263441073158937;0.191719290857748;-0.0970904953198417;0.142902294018015;0.214745396342181;0.0905439203264532;0.127283164213994;0.256375584269958;0.157020308229906;0.214881884041615;0.194482650927433;-0.0491860793334948;0.00822775846926705;0.0762669759757014;0.232482468999964
Temporal association areas (L);0.112685827552135;0.161396224942953;0.0778733970901568;0.112847373259231;0.00251511045979937;0.206617102380385;0.165815724742674;0.153172424877912;1;0.247288562525725;-0.105931288986961;0.0940539070331485;0.128212187223799;-0.0708116965714102;0.0829166451796203;0.195089533247742;0.0861357386076769;0.071908899610945;0.0820845570837547;0.0360247750679886;-0.0278909318776413;-0.0358294152252434;-0.00984192382025785;0.109717776590741;-0.11796671594263;0.248690653486787
Temporal association areas (R);0.334135201582278;0.343384273154312;0.273575104855971;0.207906272355346;-0.0133644497672932;0.22673658696837;0.169187960569757;0.301427368911244;0.247288562525725;1;0.031939553777549;0.144085154819445;0.122800183011708;-0.0321937969431161;0.275679618352822;0.420071233808645;0.320282942660502;0.331149663746628;0.382275110624164;0.422905819682792;0.275267088809867;0.152168112739664;0.105136694268418;0.0980779976074276;0.122838675229217;0.190498282514112
Entorhinal area (L);0.173012577529474;0.277581587272777;0.118524950555673;0.177892404517916;-0.158102969577298;0.126743311217507;0.147088902168707;-0.0739759146361918;-0.105931288986961;0.031939553777549;1;0.202176472536377;0.0576549796815737;0.188482222887127;0.211082272567186;0.159094922021677;0.264087355482843;0.130248694694236;0.17150477220914;0.241229607554087;0.27781575674435;0.144458046604683;0.0159118699259289;0.0945568104817543;-0.0242988766629663;0.116860879412977
Entorhinal area (R);0.491907390893611;0.403812329973501;0.427163084372352;0.347962748554395;0.0931769406855458;0.144525160746505;0.197541914315615;0.263441073158937;0.0940539070331485;0.144085154819445;0.202176472536377;1;0.396805232060224;0.115572915631387;0.382437738702444;0.350309526018426;0.360388042236351;0.346691649536983;0.440704036148807;0.449926130844884;0.319882212980672;0.332905855287565;0.0145582978327773;0.34757749884477;0.134457342638536;0.251215978530579
Olfactory areas (L);0.248352425268644;0.236860406844582;0.306360722470209;0.263031487004815;0.0701394017885846;0.297110740860324;0.266317915105648;0.191719290857748;0.128212187223799;0.122800183011708;0.0576549796815737;0.396805232060224;1;-0.0246359860127722;0.158263678277374;0.255746919092578;0.0492537807899124;0.0371944474151643;0.226165746594515;0.203603584737403;0.265139880274129;0.144871867302709;-0.0520315921979183;0.139862422572981;0.0497658813009165;0.260803827210203
Olfactory areas (R);0.157693404074037;0.174744506570455;0.151840165152161;0.128451561445113;0.0639010934106585;-0.102369334628898;0.188973824305356;-0.0970904953198417;-0.0708116965714102;-0.0321937969431161;0.188482222887127;0.115572915631387;-0.0246359860127722;0.999999999999999;0.364958331145453;0.132871792437745;0.146152998594066;0.177444045568757;0.270426428397832;0.275406221014655;0.218432701207671;0.364331850930161;0.0571422470330425;0.199221269227153;0.120837985451319;0.0985635108495313
Dentate gyrus (L);0.463715846080539;0.608498866444754;0.411533652627252;0.32028160799733;0.165266267074043;0.164908927048787;0.235297011078519;0.142902294018015;0.0829166451796203;0.275679618352822;0.211082272567186;0.382437738702444;0.158263678277374;0.364958331145453;1;0.582704087216506;0.542868272862359;0.525948705043457;0.666714433222795;0.664512872324195;0.527412543458402;0.559492458940099;0.180516999187109;0.415411882634322;0.292856220776677;0.204856970809899
Dentate gyrus (R);0.550191653961044;0.672046409974144;0.45868763879131;0.351292101893601;0.0845346671849356;0.180104265999485;0.318868820472686;0.214745396342181;0.195089533247742;0.420071233808645;0.159094922021677;0.350309526018426;0.255746919092578;0.132871792437745;0.582704087216506;1;0.591128600360683;0.587648726847789;0.665750928268375;0.747146321820061;0.394969247449452;0.471378761486077;0.0570608565031177;0.266993360249798;0.32606628159172;0.316141903491968
Subiculum (L);0.509359943554347;0.582200720528896;0.392650451241468;0.149329714802573;0.058692781162328;0.0433886310856551;0.359039559426141;0.0905439203264532;0.0861357386076769;0.320282942660502;0.264087355482843;0.360388042236351;0.0492537807899124;0.146152998594066;0.542868272862359;0.591128600360683;1;0.673562136259905;0.671492883731979;0.744823830976835;0.319031892642955;0.257697708723409;0.037801217531695;0.276518762746547;0.250089310380398;0.200920322041074
Subiculum (R);0.540975808911275;0.549891018822841;0.49608091735926;0.182375208844994;0.0217836876351296;0.0936582283167563;0.261178334984785;0.127283164213994;0.071908899610945;0.331149663746628;0.130248694694236;0.346691649536983;0.0371944474151643;0.177444045568757;0.525948705043457;0.587648726847789;0.673562136259905;1;0.726308503313207;0.769632545077661;0.251300647045157;0.274813469096663;0.105771927634465;0.388914522324567;0.288982080240913;0.220163192575911
Dorsal hippocampus (L);0.64236929283108;0.624734088180239;0.515114564531447;0.332504056857843;0.22495861417358;0.129085823641619;0.32475915863938;0.256375584269958;0.0820845570837547;0.382275110624164;0.17150477220914;0.440704036148807;0.226165746594515;0.270426428397832;0.666714433222795;0.665750928268375;0.671492883731979;0.726308503313207;1;0.823821277225992;0.452079777766355;0.415539204369725;0.0387096576535104;0.438997477618278;0.277199970498447;0.182771349691441
Dorsal hippocampus (R);0.627746020889625;0.645403055022475;0.504299495658444;0.312832296864945;0.0934037637992066;0.0899634111800704;0.351207072710425;0.157020308229906;0.0360247750679886;0.422905819682792;0.241229607554087;0.449926130844884;0.203603584737403;0.275406221014655;0.664512872324195;0.747146321820061;0.744823830976835;0.769632545077661;0.823821277225992;1;0.46358254873535;0.471108933974625;0.0630144221097589;0.483940769131583;0.311893749498111;0.301509810582055
Ventral hippocampus (L);0.242695912770778;0.366641940829749;0.443054783302049;0.429776158895022;0.216315422468304;0.289759259666069;0.261272816714139;0.214881884041615;-0.0278909318776413;0.275267088809867;0.27781575674435;0.319882212980672;0.265139880274129;0.218432701207671;0.527412543458402;0.394969247449452;0.319031892642955;0.251300647045157;0.452079777766355;0.46358254873535;1;0.444253051446189;0.228539547031145;0.163969585841234;0.204148610328418;0.188755582050934
Ventral hippocampus (R);0.263252653758744;0.397977725368191;0.292997854799402;0.3967000531858;0.144663192667473;0.037570166566532;0.190094154537534;0.194482650927433;-0.0358294152252434;0.152168112739664;0.144458046604683;0.332905855287565;0.144871867302709;0.364331850930161;0.559492458940099;0.471378761486077;0.257697708723409;0.274813469096663;0.415539204369725;0.471108933974625;0.444253051446189;1;0.0737988716075834;0.279118811634688;0.263018562343709;0.249988133826219
Substantia nigra, reticular part (L);0.000150708622254374;0.243078038673456;0.100984999290641;0.101885655221117;0.025222402504621;0.112659731136343;-0.109591681633084;-0.0491860793334948;-0.00984192382025785;0.105136694268418;0.0159118699259289;0.0145582978327773;-0.0520315921979183;0.0571422470330425;0.180516999187109;0.0570608565031177;0.037801217531695;0.105771927634465;0.0387096576535104;0.0630144221097589;0.228539547031145;0.0737988716075834;1;0.282668331937639;0.148621811361914;0.00772744181617181
Substantia nigra, reticular part (R);0.381898128247467;0.380093713221576;0.0872060251887059;0.0417224535569983;0.0560272227142978;0.0101179849585235;0.0193225392755247;0.00822775846926705;0.109717776590741;0.0980779976074276;0.0945568104817543;0.34757749884477;0.139862422572981;0.199221269227153;0.415411882634322;0.266993360249798;0.276518762746547;0.388914522324567;0.438997477618278;0.483940769131583;0.163969585841234;0.279118811634688;0.282668331937639;1;0.227643999408768;0.113692508256398
Substantia nigra, compact part (L);0.288599264981843;0.205668902005016;0.22545230806098;0.0381077023096116;0.0336911573845977;0.0780426977200754;0.176496235398089;0.0762669759757014;-0.11796671594263;0.122838675229217;-0.0242988766629663;0.134457342638536;0.0497658813009165;0.120837985451319;0.292856220776677;0.32606628159172;0.250089310380398;0.288982080240913;0.277199970498447;0.311893749498111;0.204148610328418;0.263018562343709;0.148621811361914;0.227643999408768;1;0.185103031826322
