Matrix;Retrosplenial area (L);Retrosplenial area (R);Visual areas (L);Visual areas (R);Posterior parietal association areas (L);Posterior parietal association areas (R);Auditory areas (L);Auditory areas (R);Temporal association areas (L);Temporal association areas (R);Entorhinal area (L);Entorhinal area (R);Olfactory areas (L);Olfactory areas (R);Dentate gyrus (L);Dentate gyrus (R);Subiculum (L);Subiculum (R);Dorsal hippocampus (L);Dorsal hippocampus (R);Ventral hippocampus (L);Ventral hippocampus (R);Substantia nigra, reticular part (L);Substantia nigra, reticular part (R);Substantia nigra, compact part (L);Substantia nigra, compact part (R)
Retrosplenial area (L);1;0.451016643403265;0.474424161856662;0.51068491561139;0.443700177460629;0.445174065743893;-0.220696049086114;0.286605132067839;0.105850715579723;0.259980140495298;0.115962081242459;0.337674617140786;0.318546831960183;0.0526782616538225;0.289328327921271;0.531208174779091;0.315133116364414;0.274785338263116;0.286535193323873;0.226927786444716;0.453749285291454;0.337777402064888;-0.154702215650861;0.31050165571899;0.116307460058073;0.290412517613065
Retrosplenial area (R);0.451016643403265;0.999999999999999;0.506702219784855;0.672636539479527;0.528187730807079;0.522379497727295;-0.0607548762611989;0.375658600603526;0.291901509144914;0.232385966324212;-0.00846849774452832;0.406391324610033;0.106209863778606;0.271651340998136;0.476109618834078;0.532017085148963;0.407219462729888;0.465813867599183;0.367685261424223;0.473747270321497;0.433820680813125;0.456715915020542;0.00050151856933275;0.341654353077226;0.085670380104615;0.165451915640428
Visual areas (L);0.474424161856662;0.506702219784855;1;0.270911829542499;0.794032863408794;0.199274352360161;-0.0105851945628868;0.277612573190324;0.0277399977163512;0.0734065981196295;0.103554125007128;0.289397724178563;0.155733817216864;0.180852800602507;0.372642784926061;0.504727485488109;0.155214589412249;0.331727414565582;0.256498635885839;0.359480071066511;0.370262032347282;0.299867429282987;-0.141942918674656;0.264533907269485;0.0491227017421315;0.197808791221869
Visual areas (R);0.51068491561139;0.672636539479527;0.270911829542499;1;0.254839374131485;0.785331208272037;-0.338361841174205;0.35439168339225;0.40641450223697;0.0939888662689155;-0.0395517594743863;0.228040287271188;-0.0356347263886181;0.0939546907925513;0.137130783104504;0.258794700994745;0.183019662054826;0.330450018644674;0.0829114873530688;0.188125249404062;0.194036572593518;0.400123324159484;0.0727835396286292;0.202336593581692;-0.0206826714598954;0.138107117464579
Posterior parietal association areas (L);0.443700177460629;0.528187730807079;0.794032863408794;0.254839374131485;0.999999999999999;0.13660665795529;0.0186757828315385;0.244347460474138;0.0802120808757452;0.14611050280201;0.14961266058739;0.304046889370536;0.184287662254264;0.21958101176918;0.436233286495758;0.500517347766691;0.181177457171698;0.376906519483297;0.311668416826988;0.403812698478577;0.401444357902134;0.292169409699207;-0.0585216377009037;0.245434493979177;0.0419791552371969;0.0511136148680556
Posterior parietal association areas (R);0.445174065743893;0.522379497727295;0.199274352360161;0.785331208272037;0.13660665795529;1;-0.362209745545691;0.32019680234514;0.385022910329894;0.0548638284398897;-0.00802893042675267;0.113069871637663;0.0554851325060054;-0.0045417368726123;0.0472288975207127;0.202404745796878;0.14958687187658;0.246131118833484;-0.0382296618822401;0.0489877283972918;0.140648587517281;0.326686107880111;0.100527265259162;0.160016565030488;0.126883200614858;0.208307344978687
Auditory areas (L);-0.220696049086114;-0.0607548762611989;-0.0105851945628868;-0.338361841174205;0.0186757828315385;-0.362209745545691;1;0.133496389700552;-0.449587685554838;0.00238798587862804;-0.130213477938491;0.16269380869992;-0.0176905599243823;0.188682237370324;0.202711008844441;0.134286333916228;-0.0347062250562067;-0.0405030676582845;0.235127491486767;0.143112973954982;0.135527988173914;-0.0830277348828746;-0.105168348833029;0.0250359876028674;0.0201098912333165;0.0851246938902369
Auditory areas (R);0.286605132067839;0.375658600603526;0.277612573190324;0.35439168339225;0.244347460474138;0.32019680234514;0.133496389700552;1;0.0408554090018089;0.392372824566115;-0.0609973204439558;0.483629137573923;-0.00657153374213855;0.140521262446034;0.241043642492381;0.476298351785888;0.186132203303653;0.175027571616364;0.41148051867721;0.284663225495744;0.487952714826566;0.670808948269012;0.139079714116181;0.409771209987946;0.258885538214136;0.36118705579144
Temporal association areas (L);0.105850715579723;0.291901509144914;0.0277399977163512;0.40641450223697;0.0802120808757452;0.385022910329894;-0.449587685554838;0.0408554090018089;1;-0.0214138417889897;-0.033363673169319;0.0600048346337578;-0.0298099802967442;0.0824816773427854;0.0408120739865134;0.0436250073448429;0.0748329326556843;0.228285447565717;-0.110218012552107;0.0905523667944805;-0.109465248974792;0.183765756510302;0.157244819863962;0.0802187247205218;0.100190630932445;-0.0321588683189667
Temporal association areas (R);0.259980140495298;0.232385966324212;0.0734065981196295;0.0939888662689155;0.14611050280201;0.0548638284398897;0.00238798587862804;0.392372824566115;-0.0214138417889897;1;0.0878020716892262;0.491878897132949;0.160989696467349;0.23623863096689;0.35801260044574;0.390133656787502;0.309577440568237;0.162556226082461;0.4124835346814;0.249272362108595;0.396879510770589;0.398020377222818;0.0626102058777388;0.332734100943741;0.116222827711213;0.283397199346044
Entorhinal area (L);0.115962081242459;-0.00846849774452832;0.103554125007128;-0.0395517594743863;0.14961266058739;-0.00802893042675267;-0.130213477938491;-0.0609973204439558;-0.033363673169319;0.0878020716892262;1;0.085028919728892;0.0808543366509381;0.0839054638252624;0.0336227807943963;0.0966039098419605;0.0052028171852351;-0.0709859863447607;0.128064620227324;0.00110070537141644;0.12582386360733;0.134422773064824;-0.00941952600329193;0.112695075790763;0.117786246523617;0.00440135110949041
Entorhinal area (R);0.337674617140786;0.406391324610033;0.289397724178563;0.228040287271188;0.304046889370536;0.113069871637663;0.16269380869992;0.483629137573923;0.0600048346337578;0.491878897132949;0.085028919728892;1;0.146138309558088;0.464925855020062;0.549198605620566;0.634209428698282;0.391258156992378;0.393872406116804;0.653788555642782;0.548428501130135;0.699476396013896;0.651728429019447;-0.0823578774260467;0.379624054824677;0.105433400343385;0.335947793288345
Olfactory areas (L);0.318546831960183;0.106209863778606;0.155733817216864;-0.0356347263886181;0.184287662254264;0.0554851325060054;-0.0176905599243823;-0.00657153374213855;-0.0298099802967442;0.160989696467349;0.0808543366509381;0.146138309558088;1;-0.00873704712936479;0.20630479869625;0.27206707817559;0.282705486013495;0.0542354630071557;0.139556980492888;0.141389125970182;0.177570949827996;0.0262023869165457;-0.0910440699372289;0.170998559261696;0.0171989958836264;0.164604503705625
Olfactory areas (R);0.0526782616538225;0.271651340998136;0.180852800602507;0.0939546907925513;0.21958101176918;-0.0045417368726123;0.188682237370324;0.140521262446034;0.0824816773427854;0.23623863096689;0.0839054638252624;0.464925855020062;-0.00873704712936479;1;0.43211980073804;0.34233772834106;0.254120942302232;0.261602340193955;0.383586665852736;0.390304272433285;0.307127803330843;0.300080214770873;-0.0520582425364547;0.12686864018694;0.0314673255526677;0.135141334165359
Dentate gyrus (L);0.289328327921271;0.476109618834078;0.372642784926061;0.137130783104504;0.436233286495758;0.0472288975207127;0.202711008844441;0.241043642492381;0.0408120739865134;0.35801260044574;0.0336227807943963;0.549198605620566;0.20630479869625;0.43211980073804;1;0.670793187671508;0.512520976011476;0.490466875791158;0.676988452292856;0.714173008049936;0.555345965231031;0.442911719769936;0.00627370557127727;0.319793495075537;0.0962308441525389;0.299469163413523
Dentate gyrus (R);0.531208174779091;0.532017085148963;0.504727485488109;0.258794700994745;0.500517347766691;0.202404745796878;0.134286333916228;0.476298351785888;0.0436250073448429;0.390133656787502;0.0966039098419605;0.634209428698282;0.27206707817559;0.34233772834106;0.670793187671508;1;0.539114693073659;0.532892869447546;0.699679644082979;0.717787249613579;0.68412331895391;0.566790144640855;-0.0756237470246705;0.385217139936136;0.248725032037498;0.349682230865531
Subiculum (L);0.315133116364414;0.407219462729888;0.155214589412249;0.183019662054826;0.181177457171698;0.14958687187658;-0.0347062250562067;0.186132203303653;0.0748329326556843;0.309577440568237;0.0052028171852351;0.391258156992378;0.282705486013495;0.254120942302232;0.512520976011476;0.539114693073659;1;0.512665553571946;0.55903467986662;0.595217009705264;0.42589344046758;0.375805159787607;-0.0928650994360404;0.244025992812048;0.105318258390534;0.274490453583263
Subiculum (R);0.274785338263116;0.465813867599183;0.331727414565582;0.330450018644674;0.376906519483297;0.246131118833484;-0.0405030676582845;0.175027571616364;0.228285447565717;0.162556226082461;-0.0709859863447607;0.393872406116804;0.0542354630071557;0.261602340193955;0.490466875791158;0.532892869447546;0.512665553571946;1;0.487503655577807;0.654799641416316;0.385257896611864;0.341175448338681;-0.0400574912119795;0.117178796553667;0.0343440943595357;0.0735717940411999
